movie_name,genres,percentage_ROI_gross_budget,gross,budget,average_rating,number_vote,primary_name,primary_profession,release_date,release_year,runtime_minutes,distributor,max_theatre_count
1982,drama,0,0,1000000,7.25,111.0,Tommy Oliver,"producer,cinematographer,editor",2013-12-31 00:00:00,2013,90.0,Tricycle …,5
fort mccoy,"drama,history,war",0,78948,3000000,6.1,160.0,Kate Connor,"actress,producer,director",2014-01-01 00:00:00,2011,100.0,Monterey …,14
breaking in,"action,crime,drama",700,46840590,6000000,3.95,5078.0,Ryan Engle,"writer,director,producer",2014-01-01 00:00:00,2018,88.0,Universal,"2,537"
paranormal activity: the marked ones,"horror,mystery,thriller",600,32462372,5000000,5.15,18949.0,Christopher Landon,"writer,producer,director",2014-01-03 00:00:00,2014,84.0,Paramount…,"2,883"
the legend of hercules,"action,adventure,fantasy",0,18848538,70000000,4.35,25578.0,Renny Harlin,"producer,director,writer",2014-01-10 00:00:00,2014,99.0,Lionsgate,"2,104"
jack ryan: shadow recruit,"action,drama,thriller",0,50577412,60000000,6.15,58300.0,Tom Clancy,"writer,producer,miscellaneous",2014-01-17 00:00:00,2014,105.0,Paramount…,"3,387"
ride along,action,500,134202565,25000000,5.300000000000001,645.0,Larry Greene,"actor,writer,producer",2014-01-17 00:00:00,2012,87.0,Universal,"2,867"
devil's due,"horror,mystery,thriller",200,15821461,7000000,4.3,7902.0,Lindsay Devlin,"writer,producer,miscellaneous",2014-01-17 00:00:00,2014,89.0,20th Cent…,"2,544"
wish i was here,"comedy,drama",0,3591299,6000000,6.65,17673.0,Adam J. Braff,"art_department,writer,producer",2014-01-18 00:00:00,2014,106.0,Focus Fea…,753
hits,"comedy,drama",0,15156,1000000,5.4,871.0,David Cross,"actor,writer,producer",2014-01-21 00:00:00,2014,96.0,Honora Pr…,2
"i, frankenstein","action,fantasy,horror",0,19075290,65000000,5.15,38000.0,Stuart Beattie,"writer,director,producer",2014-01-24 00:00:00,2014,92.0,Lionsgate,"2,753"
that awkward moment,"comedy,romance",300,26068955,8000000,6.15,46953.0,Tom Gormican,"writer,producer,director",2014-01-31 00:00:00,2014,94.0,FilmDistrict,"2,809"
the lego movie,"action,adventure,animation",400,257784718,60000000,7.6,154509.0,Kevin Eastman,"writer,actor,producer",2014-02-07 00:00:00,2014,100.0,Warner Bros.,"3,890"
the monuments men,"comedy,drama,history",100,78031620,70000000,6.0,59933.0,George Clooney,"actor,producer,director",2014-02-07 00:00:00,2014,118.0,Sony Pict…,"3,083"
robocop,"action,crime,sci-fi",0,58607007,120000000,6.0,104594.0,Michael Miner,"writer,miscellaneous,director",2014-02-12 00:00:00,2014,117.0,Sony Pict…,"3,372"
3 days to kill,"action,drama,thriller",100,30697999,28000000,6.15,41480.0,Luc Besson,"writer,producer,director",2014-02-14 00:00:00,2014,117.0,Relativity,"2,872"
endless love,"drama,romance",100,23438250,20000000,6.55,19429.0,Shana Feste,"director,writer,actress",2014-02-14 00:00:00,2014,104.0,Universal,"2,896"
about last night,"comedy,romance",300,48637684,13000000,6.05,10695.0,David Mamet,"writer,producer,director",2014-02-14 00:00:00,2014,100.0,Sony Pict…,"2,253"
